Epoch,Loss_tr,Loss_va
0,0.6194713858361235,0.6084944696426392
1,0.598672175544775,0.600849358677864
2,0.529205055000309,0.4520700519680977
3,0.4579565585226955,0.4411454669833183
4,0.43691546952198884,0.4134892656207085
5,0.4244634694679228,0.3976334990262985
6,0.4095591470778347,0.3921446128487587
7,0.3973289104943763,0.3735799807906151
8,0.3876159621742302,0.3663819804787636
9,0.3764465159189725,0.363904230594635
10,0.3687885537564396,0.35355737659335135
11,0.3581422027909684,0.3452089839577675
12,0.3505523287222715,0.34455691203475
13,0.34358885873833256,0.3299035642147064
14,0.3347543972079644,0.3338046721816063
15,0.3282477242315938,0.32609794676303866
16,0.32226087447845625,0.31789599776268007
17,0.3138314109213486,0.31291045880317686
18,0.30929073439780363,0.3052887205481529
19,0.3015288831087535,0.3108603821694851
20,0.29521413875336877,0.3044640110731125
21,0.2905409470170677,0.3116654288470745
22,0.2847803495675027,0.30697206139564515
23,0.277876896593339,0.2899453376531601
24,0.27317784578056037,0.29600053596496584
25,0.26798655259943677,0.29028233912587165
26,0.2606165591246618,0.2899991104602814
27,0.25689099766388684,0.2865511807501316
28,0.2502577524251474,0.28947245839238167
29,0.24617197866251092,0.27984973457455636
30,0.24096721015079228,0.27691564896702764
31,0.2364128563918905,0.2911176025271416
32,0.23181123256623626,0.28564585733413694
33,0.22858578402675941,0.28397120973467826
34,0.22196631639718054,0.2750508519411087
35,0.2179849677847956,0.28306742137670515
36,0.2131008997947754,0.29976450446248054
37,0.207497422533009,0.285693424642086
38,0.20520389893788374,0.2893976053893566
39,0.19990600839645448,0.29718572065234183
40,0.19616023127833207,0.28675176259875296
41,0.19088410892204674,0.2941101138293743
42,0.1886849025103874,0.3007985994964838
43,0.18422712152730486,0.30533844290673734
44,0.17994147934437635,0.2974032003581524
45,0.17632516289133587,0.2888758427798748
46,0.1727738794842679,0.3101509627699852
47,0.1702925286858617,0.28840726320445537
48,0.16589363276182054,0.317920185059309
49,0.16347775949475044,0.29782122875750067
