Epoch,Loss_tr,Loss_va
0,0.6169280307983349,0.5961529393196106
1,0.5414182434160867,0.4423348078131676
2,0.46232265695362146,0.42626303136348725
3,0.44019354240808317,0.4121977759599686
4,0.42184044632739676,0.38631735479831697
5,0.4064683091037259,0.38148838955163955
6,0.39498943895220995,0.36670530736446383
7,0.38362837730643745,0.3593873367905617
8,0.37602341999271827,0.3508638551831245
9,0.3667123019545972,0.37021746134757993
10,0.35704836028372355,0.3346450728178024
11,0.3499061625323936,0.3400218850970268
12,0.3423505094581711,0.3263155881166458
13,0.33419682239303605,0.32184315991401674
14,0.32962798469052285,0.3207232407331467
15,0.3205528489513722,0.3116135484576225
16,0.3154672575603148,0.3088977344632149
17,0.30921104507061664,0.29923165720701217
18,0.30072412951914723,0.2957992193698883
19,0.2950964791024615,0.29760237365961073
20,0.2879162593735363,0.29102967169880867
21,0.28383361719892114,0.28672086250782014
22,0.27857860400974155,0.28728367665410043
23,0.2698375735439375,0.28679962968826295
24,0.26564587463805817,0.2946942500472069
25,0.2604104294581619,0.2835485382080078
26,0.2548482476813879,0.2886806050539017
27,0.2502418690937793,0.28029852783679965
28,0.24296604563483973,0.284872224599123
29,0.23854423141879644,0.2819927385151386
30,0.23263480307493276,0.2918707492053509
31,0.228385467694434,0.2866395129263401
32,0.22283312296102903,0.28664992383122445
33,0.21971665062234252,0.2699229472577572
34,0.21471906825900078,0.2822486002445221
35,0.21042505084333535,0.2976165695488453
36,0.20584202048654307,0.27629137748479843
37,0.20117871296817888,0.26441694363951684
38,0.19660198830351802,0.2778059874176979
39,0.19204409251769702,0.307730830937624
40,0.18877189843831416,0.2974681871831417
41,0.18311199007596904,0.30094634741544724
42,0.1807710235203077,0.3017271758615971
43,0.17533268591758602,0.30765246698260307
44,0.17392557724668292,0.31023502320051194
45,0.16962180253797637,0.32531284156441687
46,0.16464988918665177,0.30234866243600844
47,0.16310855321481615,0.3381860212683678
48,0.15999333553747805,0.3225401469171047
49,0.15569097714457578,0.33388884031772614
